Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT,Avg CTAT,Canceled Rides by Customer,Reason for canceling by Customer,Canceled Rides by Driver,Reason for canceling by Driver,Incomplete Rides,Incomplete Rides Reason,Booking Value,Ride Distance,Driver Ratings,Customer Rating
2025-01-19,15:24,CNR408851382,Success,CUST653152,Bike,Pipliyahana,Rajendra Nagar,12.0,11.0,False,,False,,False,,640,14.3,4.4,4.1
2025-01-17,22:54,CNR503715179,Canceled by Driver,CUST404945,Mini,Scheme No. 140,Rau,,,False,,True,Customer related issue,False,,1145,3.71,,
2025-01-01,05:42,CNR393055157,Canceled by Driver,CUST451753,Prime Sedan,Rau,Aerodrome Road,,,False,,True,Personal & Car related issue,False,,307,10.8,,
2025-01-14,17:22,CNR536715895,Success,CUST275791,Prime SUV,Scheme No. 54,Lokmanya Nagar,8.0,6.0,False,,False,,False,,202,11.14,4.8,4.4
2025-01-04,02:24,CNR764575622,Success,CUST342949,eBike,Malharganj,Chhoti Gwaltoli,6.0,10.0,False,,False,,False,,582,17.97,4.3,4.2
2025-01-01,22:16,CNR975649881,Canceled by Driver,CUST592040,Mini,Saket Nagar,Rau,,,False,,True,Customer related issue,False,,175,17.07,,
2025-01-18,21:42,CNR932792704,Success,CUST230875,eBike,Hira Nagar,LIG Colony,10.0,17.0,False,,False,,False,,355,14.62,3.3,3.8
2025-01-29,09:09,CNR900826434,Canceled by Customer,CUST503108,Prime Plus,Chhoti Gwaltoli,Saket Nagar,,,True,AC is not working,False,,False,,262,13.56,,
2025-01-16,23:56,CNR612989395,Canceled by Driver,CUST120060,Bike,Scheme No. 114,Nanda Nagar,,,False,,True,Customer was coughing/sick,False,,423,6.4,,
2025-01-13,11:54,CNR902508803,Incomplete,CUST411718,eBike,Scheme No. 71,Navlakha,,,False,,False,,True,Customer Demand,476,5.72,,
2025-01-26,06:01,CNR178323699,Success,CUST420334,Auto,Rajendra Nagar,Palasia,14.0,11.0,False,,False,,False,,697,9.35,4.4,3.9
2025-01-14,12:04,CNR875647999,Success,CUST374633,Prime SUV,Annapurna,Mhow Naka,7.0,19.0,False,,False,,False,,551,9.84,4.9,4.5
2025-01-12,16:08,CNR477636651,Canceled by Customer,CUST872367,Bike,Annapurna,South Tukoganj,,,True,AC is not working,False,,False,,535,7.88,,
2025-01-11,02:31,CNR983359685,Success,CUST312952,Prime SUV,Bhawarkua,Palasia,18.0,8.0,False,,False,,False,,447,19.91,4.7,3.2
2025-01-15,22:40,CNR848570374,Success,CUST511938,eBike,AB Road,Lasudia Mori,11.0,6.0,False,,False,,False,,319,19.44,3.2,3.9
2025-01-03,19:27,CNR467752660,Success,CUST919306,Prime SUV,Scheme No. 71,Malharganj,19.0,20.0,False,,False,,False,,407,2.97,4.6,5.0
2025-01-17,04:01,CNR160308361,Success,CUST706535,Auto,Lasudia Mori,Bhawarkua,12.0,20.0,False,,False,,False,,190,16.2,3.3,4.7
2025-01-31,13:28,CNR371912191,Success,CUST643085,eBike,MR 1,Hira Nagar,5.0,15.0,False,,False,,False,,172,2.88,4.0,4.1
2025-01-01,03:50,CNR330080155,Success,CUST645227,Prime SUV,Banganga,Ring Road,15.0,10.0,False,,False,,False,,820,7.76,3.5,3.9
2025-01-16,05:44,CNR160548094,Success,CUST841339,Mini,Tilak Nagar,Lasudia Mori,14.0,10.0,False,,False,,False,,491,17.3,3.3,4.1
2025-01-31,04:10,CNR144923423,Success,CUST185072,Prime SUV,MR 9,Scheme No. 78,12.0,9.0,False,,False,,False,,370,11.24,3.3,3.9
2025-01-06,21:33,CNR779874474,Success,CUST384680,Prime SUV,Nanda Nagar,Khajrana,7.0,8.0,False,,False,,False,,310,17.2,4.6,4.9
2025-01-14,04:19,CNR241745121,Canceled by Driver,CUST796181,Auto,MR 4,Scheme No. 73,,,False,,True,More than permitted people in there,False,,429,11.18,,
2025-01-04,14:06,CNR679944149,Canceled by Driver,CUST626616,Auto,Khajrana,MR 9,,,False,,True,Customer was coughing/sick,False,,799,2.17,,
2025-01-07,23:24,CNR124513218,Canceled by Customer,CUST348390,Prime Sedan,Scheme No. 114,MR 1,,,True,Change of plans,False,,False,,374,3.66,,
2025-01-17,06:13,CNR478135050,Canceled by Customer,CUST184656,Mini,Rajendra Nagar,MG Road,,,True,Wrong Address,False,,False,,147,4.7,,
2025-01-11,14:08,CNR333192779,Incomplete,CUST530165,Prime Plus,MR 4,Bhanwarkuan,,,False,,False,,True,Other Issue,184,3.08,,
2025-01-20,20:10,CNR923351033,Success,CUST723872,Mini,Scheme No. 54,MR 10,19.0,6.0,False,,False,,False,,210,15.39,3.0,4.3
2025-01-07,12:35,CNR121897684,Success,CUST713996,Prime Plus,Scheme No. 72,Geeta Bhawan,6.0,11.0,False,,False,,False,,699,14.89,3.7,3.4
2025-01-21,22:00,CNR834618889,Success,CUST377401,Mini,LIG Colony,MR 3,7.0,8.0,False,,False,,False,,130,5.66,3.9,4.8
2025-01-28,15:29,CNR381369425,Success,CUST518247,Mini,Scheme No. 114,Hira Nagar,16.0,11.0,False,,False,,False,,219,5.94,3.2,3.1
2025-01-08,14:47,CNR246304636,Incomplete,CUST341148,Prime SUV,Scheme No. 94,Aerodrome Road,,,False,,False,,True,Other Issue,457,11.09,,
2025-01-30,09:05,CNR759497664,Canceled by Driver,CUST427868,Auto,Scheme No. 73,Scheme No. 140,,,False,,True,Personal & Car related issue,False,,601,4.62,,
2025-01-19,08:46,CNR338260317,Success,CUST523855,eBike,Aerodrome Road,Scheme No. 72,6.0,17.0,False,,False,,False,,529,18.81,4.2,3.4
2025-01-06,21:00,CNR305670692,Canceled by Driver,CUST373430,Prime Sedan,MR 1,South Tukoganj,,,False,,True,Customer was coughing/sick,False,,536,12.86,,
2025-01-30,02:00,CNR271601999,Success,CUST277352,Prime Sedan,Scheme No. 74,LIG Colony,7.0,20.0,False,,False,,False,,191,3.09,3.9,4.2
2025-01-18,08:35,CNR416279795,Success,CUST758638,Prime Sedan,Geeta Bhawan,Scheme No. 72,19.0,14.0,False,,False,,False,,211,19.25,4.7,3.7
2025-01-22,14:30,CNR824631541,Canceled by Customer,CUST368417,Prime SUV,Ring Road,Lokmanya Nagar,,,True,Driver is not moving towards pickup location,False,,False,,132,12.14,,
2025-01-29,15:54,CNR146643218,Canceled by Customer,CUST282334,Bike,Silicon City,Bada Gwaltoli,,,True,Driver is not moving towards pickup location,False,,False,,1995,5.25,,
2025-01-18,23:32,CNR935966625,Success,CUST747283,Prime Plus,Scheme No. 94,Bhawarkua,15.0,14.0,False,,False,,False,,519,3.66,3.8,4.9
2025-01-18,22:42,CNR151149474,Success,CUST218455,eBike,Silicon City,South Tukoganj,14.0,8.0,False,,False,,False,,1170,9.9,3.1,3.4
2025-01-27,04:09,CNR361968303,Success,CUST267982,Auto,Scheme No. 73,Vijay Nagar,15.0,13.0,False,,False,,False,,548,7.92,3.0,4.4
2025-01-04,10:03,CNR498094773,Success,CUST180258,Auto,Scheme No. 74,Banganga,20.0,12.0,False,,False,,False,,613,5.4,4.7,4.8
2025-01-28,04:28,CNR155766817,Success,CUST807568,eBike,Super Corridor,MR 3,14.0,13.0,False,,False,,False,,310,3.91,4.9,3.8
2025-01-16,01:32,CNR544544187,Canceled by Driver,CUST805905,Mini,Scheme No. 140,Bada Gwaltoli,,,False,,True,Personal & Car related issue,False,,374,12.74,,
2025-01-30,23:08,CNR815984874,Incomplete,CUST118380,eBike,Saket Nagar,Lasudia Mori,,,False,,False,,True,Other Issue,253,5.29,,
2025-01-01,09:50,CNR379572258,Canceled by Driver,CUST179555,Prime Sedan,Scheme No. 54,Scheme No. 94,,,False,,True,Personal & Car related issue,False,,308,14.82,,
2025-01-04,22:14,CNR366712712,Incomplete,CUST253647,Auto,Chhoti Gwaltoli,Bhawarkua,,,False,,False,,True,Vehicle Breakdown,295,6.05,,
2025-01-27,03:08,CNR859324222,Success,CUST180373,Prime Sedan,Scheme No. 73,Saket Nagar,11.0,18.0,False,,False,,False,,471,5.83,3.8,4.8
2025-01-17,23:49,CNR320484245,Canceled by Customer,CUST490319,Prime Sedan,Scheme No. 73,LIG Colony,,,True,Driver asked to cancel,False,,False,,426,13.43,,
2025-01-22,00:38,CNR884855131,Success,CUST909667,Auto,Banganga,Scheme No. 54,20.0,13.0,False,,False,,False,,563,8.36,3.2,4.9
2025-01-28,13:54,CNR186226508,Canceled by Driver,CUST482772,eBike,Scheme No. 140,Scheme No. 72,,,False,,True,Customer related issue,False,,315,11.66,,
2025-01-05,04:13,CNR754587253,Success,CUST704040,Bike,Super Corridor,MR 4,8.0,18.0,False,,False,,False,,1020,7.35,3.9,4.2
2025-01-17,10:47,CNR233859505,Success,CUST643556,Prime SUV,Pipliyahana,MR 2,11.0,8.0,False,,False,,False,,380,16.19,4.6,4.5
2025-01-08,22:25,CNR776183512,Canceled by Driver,CUST925863,Mini,Bhanwarkuan,MR 10,,,False,,True,More than permitted people in there,False,,411,5.9,,
2025-01-16,11:06,CNR779112021,Canceled by Customer,CUST549073,eBike,AB Road,Navlakha,,,True,AC is not working,False,,False,,677,5.19,,
2025-01-18,08:45,CNR124903985,Incomplete,CUST378073,eBike,Sudama Nagar,Scheme No. 72,,,False,,False,,True,Customer Demand,1150,9.97,,
2025-01-24,17:19,CNR837987143,Incomplete,CUST154644,eBike,RNT Marg,MG Road,,,False,,False,,True,Customer Demand,826,17.49,,
2025-01-31,13:36,CNR755955715,Success,CUST958027,Bike,AB Road,Rau,9.0,19.0,False,,False,,False,,503,15.13,3.7,4.0
2025-01-02,13:28,CNR203045185,Success,CUST959640,eBike,Lasudia Mori,Scheme No. 73,5.0,18.0,False,,False,,False,,172,6.08,4.9,4.6
2025-01-14,22:03,CNR321523372,Success,CUST836777,Prime SUV,Scheme No. 72,Nanda Nagar,14.0,7.0,False,,False,,False,,662,10.46,3.3,4.7
2025-01-19,06:30,CNR674082091,Success,CUST281464,Bike,RNT Marg,MG Road,20.0,19.0,False,,False,,False,,553,16.34,3.6,3.4
2025-01-23,12:03,CNR458337008,Success,CUST287504,Bike,Khajrana,Scheme No. 71,11.0,20.0,False,,False,,False,,676,6.86,3.6,4.9
2025-01-01,07:11,CNR182976720,Success,CUST540870,Prime Sedan,MR 2,Scheme No. 71,19.0,11.0,False,,False,,False,,195,18.5,5.0,3.7
2025-01-20,07:06,CNR284040584,Success,CUST751261,Auto,MR 3,Juni Indore,14.0,14.0,False,,False,,False,,451,18.82,4.4,4.6
2025-01-25,06:05,CNR736316150,Canceled by Driver,CUST978079,Prime Sedan,Banganga,Lokmanya Nagar,,,False,,True,Customer related issue,False,,439,19.8,,
2025-01-10,07:12,CNR734420745,Success,CUST263326,Mini,Scheme No. 74,Bhanwarkuan,5.0,12.0,False,,False,,False,,410,17.07,4.0,4.9
